Age,dAge,S2,S5ESP,dS5ESP,S6r1,S6r2,S6r3,S6r4,S6r5,S6r6,S6r7,dRecodeCredit,dBrand,dCreditProvider,S10,S10r7oe,NPS,Reason,CSAT,CES,Brand-Opinion,Q6ar1,Q6ar2,Q6ar3,Q6ar4,Q6br1,Q6br2,Q6br3,Q6br4,Q6br5,Q6br6,Q7r1,Q7r2,Q7r3,Q7b,Q8r1,Q8r2,Q8r3,Q8r4,Q8r5,cluster_final
18,2,2,1,6,1,0,0,0,0,1,0,5,353.0,5.0,2.0,,9.0,La velocidad de gestión,10.0,7.0,8.0,5.0,5.0,8.0,2.0,9.0,8.0,4.0,7.0,7.0,5.0,6.0,9.0,7.0,9.0,1.0,2.0,2.0,1.0,1.0,2
18,2,1,9,5,1,0,0,0,0,0,0,5,475.0,4.0,1.0,,9.0,no,8.0,6.0,9.0,8.0,10.0,10.0,7.0,8.0,10.0,7.0,4.0,8.0,2.0,7.0,10.0,5.0,7.0,3.0,2.0,3.0,3.0,3.0,2
18,2,1,1,6,0,1,0,0,0,0,0,4,13.0,3.0,3.0,,10.0,Muy buen trato,10.0,7.0,10.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,11.0,11.0,11.0,10.0,4.0,4.0,4.0,4.0,4.0,5
18,2,1,12,3,1,0,0,0,0,0,0,4,52.0,1.0,1.0,,10.0,ninguno en concreto,10.0,7.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,1.0,1.0,1.0,1.0,1.0,4
18,2,1,1,6,0,0,0,0,0,1,0,4,78.0,5.0,1.0,,9.0,Muy cercanos y bajos intereses principalmente,8.0,6.0,9.0,8.0,7.0,11.0,8.0,7.0,9.0,6.0,6.0,9.0,10.0,11.0,10.0,11.0,8.0,1.0,2.0,1.0,1.0,2.0,5
18,2,2,1,6,0,1,0,0,0,0,0,5,78.0,2.0,4.0,,6.0,Confianza,6.0,7.0,5.0,10.0,8.0,9.0,8.0,11.0,10.0,11.0,10.0,9.0,11.0,6.0,7.0,6.0,7.0,2.0,1.0,3.0,1.0,1.0,2
18,2,2,1,6,1,0,0,0,0,0,0,4,52.0,1.0,2.0,,6.0,Porque al no ser un banco muy reconocido hay muy poco en las ciudades o por lo menos en mi cuidad,5.0,4.0,8.0,8.0,6.0,6.0,7.0,10.0,9.0,8.0,8.0,9.0,8.0,7.0,8.0,7.0,7.0,2.0,3.0,3.0,2.0,3.0,2
18,2,2,1,6,1,0,0,0,0,0,0,4,52.0,1.0,4.0,,10.0,Buena atención al cliente,10.0,5.0,10.0,9.0,9.0,10.0,9.0,11.0,10.0,7.0,4.0,11.0,9.0,9.0,9.0,11.0,9.0,2.0,2.0,2.0,1.0,1.0,5
18,2,1,1,6,0,0,0,0,0,1,0,4,78.0,5.0,1.0,,10.0,Muy segura,10.0,7.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,10.0,1.0,1.0,1.0,1.0,1.0,5
18,2,1,12,3,0,1,1,0,0,0,0,5,264.0,3.0,3.0,,8.0,Podría mejorar en cuanto a ofertas más útiles y una mayor importancia de la tarjeta eleclerc,8.0,6.0,8.0,8.0,7.0,9.0,8.0,9.0,8.0,9.0,7.0,9.0,8.0,7.0,7.0,6.0,7.0,3.0,3.0,2.0,4.0,3.0,4
18,2,1,1,6,1,1,1,0,1,0,0,5,10.0,3.0,3.0,,10.0,La facilidad para todos los procesos y la amabildD de la asistencia. Valenanena para los principiantes,10.0,7.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,1.0,1.0,2.0,1.0,2.0,2
18,2,2,7,4,0,0,1,0,0,0,0,4,407.0,3.0,3.0,,10.0,la calidad,10.0,7.0,10.0,9.0,7.0,9.0,6.0,9.0,9.0,9.0,10.0,11.0,11.0,9.0,9.0,7.0,10.0,3.0,3.0,2.0,2.0,2.0,4
18,2,2,12,3,0,0,0,0,1,0,0,5,348.0,1.0,,,9.0,Buena gestión,8.0,6.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,6.0,7.0,7.0,8.0,3.0,2.0,2.0,3.0,2.0,4
18,2,1,17,5,0,1,0,0,0,1,0,5,475.0,4.0,1.0,,6.0,A veces tardan en responder llamadas,6.0,5.0,6.0,6.0,6.0,8.0,9.0,7.0,4.0,8.0,5.0,5.0,8.0,4.0,4.0,7.0,4.0,2.0,1.0,1.0,3.0,2.0,2
18,2,1,2,2,0,1,0,0,0,0,0,4,378.0,3.0,3.0,,5.0,Me costó cogerla,6.0,4.0,6.0,5.0,6.0,7.0,8.0,6.0,5.0,8.0,7.0,7.0,7.0,8.0,5.0,7.0,5.0,2.0,3.0,1.0,3.0,3.0,1
18,2,1,10,4,1,0,0,0,0,1,0,5,467.0,5.0,1.0,,5.0,Es muy lento el servicio y no es tan bueno como otras opciones,8.0,5.0,3.0,8.0,4.0,9.0,2.0,7.0,10.0,9.0,6.0,6.0,10.0,7.0,10.0,7.0,6.0,3.0,2.0,1.0,3.0,2.0,0
18,2,1,8,4,0,0,0,0,1,0,0,4,348.0,1.0,,,6.0,Por qué tiene mal servicio en las oficinas,6.0,5.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,9.0,9.0,7.0,9.0,8.0,7.0,7.0,8.0,2.0,3.0,2.0,2.0,2.0,2
18,2,1,12,3,0,1,0,0,0,1,0,5,223.0,3.0,3.0,,7.0,En el servicio de la tarjeta podria ser mas baratos los intereses.,7.0,6.0,7.0,9.0,6.0,7.0,8.0,9.0,8.0,9.0,8.0,10.0,10.0,9.0,9.0,8.0,7.0,2.0,3.0,2.0,3.0,2.0,4
18,2,1,17,5,0,1,0,0,0,0,0,5,348.0,1.0,3.0,,10.0,Sencillez y confianza,10.0,7.0,10.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,10.0,10.0,11.0,7.0,8.0,7.0,10.0,1.0,1.0,1.0,1.0,1.0,5
18,2,1,9,5,1,1,1,1,1,1,0,5,337.0,4.0,1.0,,8.0,en casi nada,8.0,5.0,7.0,10.0,9.0,8.0,6.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,2.0,1.0,1.0,2.0,2.0,4
18,2,1,1,6,0,1,0,0,0,0,0,5,381.0,3.0,3.0,,8.0,"Cumple su función, lo único que puede mejorar es que sea aún más ganga",9.0,6.0,8.0,10.0,10.0,11.0,11.0,10.0,9.0,10.0,6.0,8.0,10.0,8.0,8.0,9.0,8.0,2.0,2.0,2.0,1.0,2.0,5
18,2,2,15,2,1,1,1,0,0,0,0,5,369.0,3.0,5.0,,4.0,Dos,5.0,4.0,6.0,6.0,5.0,3.0,4.0,4.0,3.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,6.0,3.0,4.0,2.0,2.0,3.0,1
18,2,2,1,6,0,0,0,1,0,0,0,4,79.0,2.0,1.0,,5.0,Puede que se te haga cuesta arriba y si te retrasas en el pago puede tener consecuencias,8.0,4.0,7.0,6.0,7.0,7.0,6.0,7.0,8.0,8.0,6.0,5.0,8.0,7.0,8.0,6.0,6.0,3.0,2.0,2.0,2.0,2.0,2
19,2,2,7,4,1,0,0,0,0,0,0,5,52.0,5.0,1.0,,9.0,Una tarjeta de de débito,9.0,2.0,8.0,5.0,8.0,9.0,10.0,9.0,11.0,10.0,10.0,7.0,9.0,10.0,10.0,9.0,9.0,2.0,1.0,1.0,1.0,1.0,4
19,2,2,1,6,1,0,0,0,0,0,0,4,397.0,1.0,4.0,,5.0,muchos intereses y poca dedicación,6.0,5.0,5.0,6.0,3.0,9.0,9.0,8.0,7.0,7.0,3.0,5.0,9.0,5.0,8.0,9.0,6.0,3.0,3.0,3.0,2.0,3.0,2
19,2,2,7,4,0,0,0,0,0,1,0,4,78.0,5.0,2.0,,4.0,klk,5.0,3.0,6.0,2.0,4.0,3.0,8.0,6.0,7.0,6.0,6.0,7.0,8.0,9.0,6.0,7.0,7.0,3.0,3.0,3.0,2.0,3.0,1
19,2,2,11,1,0,0,0,1,0,0,0,4,52.0,5.0,2.0,,7.0,Ahora mismo no puedo pensar,7.0,6.0,7.0,8.0,4.0,6.0,5.0,10.0,8.0,7.0,8.0,8.0,9.0,9.0,7.0,8.0,6.0,2.0,2.0,2.0,3.0,3.0,1
19,2,2,12,3,0,0,0,0,1,0,0,5,348.0,1.0,,,8.0,no cobrar tantas comisiones,7.0,5.0,7.0,9.0,10.0,10.0,9.0,9.0,8.0,3.0,7.0,10.0,9.0,10.0,7.0,10.0,7.0,2.0,1.0,2.0,3.0,2.0,4
19,2,2,7,4,0,0,0,0,1,0,0,4,21.0,1.0,,,7.0,Intereses altos,6.0,7.0,8.0,8.0,6.0,8.0,8.0,7.0,5.0,6.0,1.0,11.0,11.0,6.0,6.0,6.0,0.0,3.0,4.0,3.0,4.0,4.0,0
19,2,2,12,3,0,0,0,0,0,1,0,4,52.0,5.0,1.0,,9.0,La facilidad para realizar la operación y la amabilidad de sus clientes,9.0,7.0,10.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,9.0,11.0,10.0,11.0,10.0,9.0,10.0,2.0,1.0,1.0,2.0,1.0,4
19,2,1,1,6,0,0,0,0,0,1,0,4,78.0,5.0,1.0,,7.0,solo mejoraria la velocidad de gestion,7.0,6.0,7.0,9.0,7.0,6.0,8.0,7.0,9.0,6.0,5.0,6.0,7.0,6.0,7.0,8.0,8.0,2.0,2.0,3.0,3.0,2.0,2
19,2,1,12,3,1,0,0,0,0,0,0,4,991.0,1.0,6.0,,10.0,"Los servicios gratuitos,y la gestion rapida",9.0,7.0,9.0,11.0,11.0,8.0,10.0,11.0,11.0,10.0,11.0,11.0,11.0,10.0,11.0,6.0,10.0,2.0,3.0,2.0,2.0,2.0,4
19,2,1,1,6,1,0,0,0,0,0,0,4,348.0,1.0,6.0,,8.0,En unos cuantos,8.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,7.0,6.0,3.0,3.0,2.0,3.0,3.0,2
19,2,1,13,6,0,0,1,0,1,0,0,5,378.0,3.0,4.0,,10.0,La comodidad,10.0,6.0,10.0,4.0,4.0,8.0,1.0,2.0,10.0,10.0,7.0,2.0,5.0,1.0,7.0,11.0,10.0,1.0,2.0,4.0,3.0,1.0,2
19,2,1,12,3,0,1,0,1,1,1,0,5,52.0,1.0,,,8.0,"de momento, me ha ofrecido todos los recursos existentes, pero lo unico que pediria es algo mas de seguridad porque una vez me realizaron una compra desde mi cuenta",8.0,6.0,8.0,9.0,5.0,5.0,10.0,8.0,10.0,7.0,10.0,8.0,9.0,9.0,8.0,11.0,9.0,2.0,3.0,2.0,1.0,2.0,4
19,2,2,12,3,0,1,0,0,0,0,0,4,52.0,1.0,7.0,No sé qué poner,5.0,No sé qué poner,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,1
19,2,1,12,3,0,1,0,0,0,0,0,4,52.0,1.0,3.0,,8.0,Que siga mas veloz,7.0,6.0,9.0,12.0,5.0,5.0,8.0,9.0,10.0,8.0,9.0,8.0,8.0,6.0,9.0,9.0,8.0,2.0,1.0,3.0,2.0,3.0,4
19,2,2,1,6,0,0,0,0,1,0,0,5,52.0,1.0,,,5.0,No recomendaria BBVA por las comisiones y los intereses.,7.0,5.0,7.0,9.0,8.0,5.0,7.0,9.0,7.0,5.0,6.0,9.0,8.0,9.0,6.0,2.0,7.0,1.0,4.0,2.0,3.0,2.0,2
19,2,2,17,5,0,0,1,0,0,0,0,5,407.0,3.0,4.0,,7.0,En algunas cosas,6.0,3.0,7.0,4.0,4.0,3.0,5.0,7.0,9.0,4.0,3.0,2.0,5.0,7.0,4.0,5.0,7.0,2.0,2.0,2.0,2.0,3.0,2
19,2,1,1,6,0,1,0,0,0,0,0,5,346.0,1.0,6.0,,7.0,"Su aplicación, su personal",7.0,5.0,7.0,8.0,8.0,9.0,9.0,7.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,7.0,3.0,3.0,2.0,2.0,2.0,2
19,2,2,9,5,0,1,0,1,0,0,0,5,44.0,2.0,1.0,,10.0,Fue un excelente servicio,10.0,7.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,1.0,1.0,1.0,1.0,1.0,5
19,2,2,9,5,0,1,0,1,0,0,0,5,469.0,5.0,1.0,,7.0,Pues no lo se la verdad,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,2.0,2.0,2.0,3.0,2.0,2
19,2,1,17,5,1,1,0,0,0,0,0,5,348.0,1.0,3.0,,9.0,Es mi banco principal,8.0,7.0,8.0,8.0,7.0,9.0,10.0,9.0,9.0,11.0,5.0,7.0,8.0,7.0,10.0,9.0,8.0,1.0,2.0,3.0,1.0,2.0,4
19,2,2,8,4,0,1,0,0,0,0,0,5,376.0,3.0,4.0,,6.0,Por las comisiones,5.0,4.0,4.0,5.0,9.0,2.0,3.0,9.0,9.0,3.0,3.0,6.0,4.0,5.0,4.0,2.0,6.0,3.0,4.0,2.0,3.0,3.0,1
19,2,1,1,6,0,1,0,1,0,1,0,5,392.0,4.0,2.0,,9.0,Son muy atentos y se nota que saben lo que hacen,10.0,6.0,9.0,9.0,3.0,10.0,9.0,9.0,8.0,10.0,7.0,9.0,9.0,8.0,9.0,9.0,6.0,2.0,2.0,2.0,3.0,3.0,2
20,2,2,17,5,1,0,0,0,0,0,0,4,126.0,2.0,4.0,,10.0,su capacidad de resolver,10.0,5.0,10.0,11.0,11.0,6.0,11.0,10.0,11.0,7.0,8.0,8.0,8.0,10.0,9.0,10.0,6.0,3.0,1.0,1.0,1.0,1.0,4
20,2,2,1,6,1,0,0,0,0,0,0,4,52.0,1.0,4.0,,10.0,La cercania,10.0,7.0,10.0,11.0,11.0,10.0,11.0,11.0,10.0,10.0,11.0,11.0,11.0,9.0,9.0,10.0,8.0,1.0,2.0,2.0,2.0,3.0,5
20,2,2,17,5,0,0,0,0,0,1,0,5,412.0,4.0,1.0,,7.0,Atencion y precios,6.0,5.0,5.0,6.0,6.0,6.0,8.0,5.0,5.0,6.0,5.0,4.0,6.0,7.0,9.0,8.0,7.0,3.0,2.0,3.0,1.0,2.0,2
20,2,1,12,3,1,0,1,0,0,1,0,5,467.0,5.0,2.0,,9.0,Fueron muy educqdos,9.0,7.0,9.0,12.0,12.0,12.0,12.0,11.0,9.0,8.0,6.0,9.0,9.0,11.0,11.0,10.0,9.0,2.0,2.0,2.0,2.0,2.0,4
20,2,2,12,3,1,1,0,0,1,0,0,5,52.0,5.0,1.0,,9.0,Innovador,9.0,6.0,9.0,8.0,6.0,9.0,7.0,7.0,7.0,6.0,5.0,5.0,7.0,8.0,7.0,6.0,9.0,3.0,2.0,4.0,4.0,3.0,4
20,2,2,12,3,1,1,0,0,0,0,0,5,76.0,1.0,6.0,,10.0,"Genial atención al cliente, buena asistencia virtual y genial aplicación de banco",10.0,7.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,3.0,11.0,9.0,1.0,1.0,1.0,1.0,1.0,4
20,2,1,12,3,1,0,0,0,0,0,0,4,52.0,5.0,1.0,,10.0,calidad,9.0,7.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,2.0,2.0,2.0,3.0,3.0,4
20,2,2,1,6,0,0,0,1,0,0,0,4,52.0,1.0,2.0,,9.0,Buena atención y xomprendimiento,9.0,6.0,9.0,8.0,6.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,2.0,2.0,1.0,2.0,2.0,5
20,2,2,12,3,0,0,0,1,0,0,0,4,52.0,1.0,1.0,,9.0,La asistencia que recibí.,9.0,6.0,8.0,11.0,9.0,10.0,7.0,9.0,8.0,9.0,9.0,9.0,10.0,5.0,9.0,9.0,7.0,1.0,2.0,1.0,2.0,3.0,4
20,2,2,1,6,1,0,0,0,0,0,0,4,52.0,1.0,3.0,,10.0,La cercanía y la facilidad de todo,10.0,7.0,10.0,11.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,11.0,11.0,9.0,10.0,10.0,10.0,1.0,3.0,3.0,1.0,3.0,5
20,2,1,11,1,1,1,0,0,0,0,0,5,5.0,1.0,4.0,,10.0,Tienen un muy buen trato al cliente junto con unas clausulas justas,10.0,6.0,7.0,9.0,9.0,9.0,11.0,7.0,8.0,7.0,8.0,9.0,9.0,8.0,7.0,6.0,10.0,1.0,1.0,1.0,2.0,2.0,4
20,2,2,12,3,0,1,0,1,0,0,0,5,76.0,1.0,1.0,,10.0,Ahorrar,10.0,6.0,8.0,9.0,12.0,9.0,8.0,7.0,10.0,6.0,8.0,10.0,11.0,9.0,8.0,7.0,7.0,3.0,2.0,1.0,3.0,2.0,4
20,2,1,12,3,0,0,0,0,0,1,0,5,78.0,5.0,2.0,,6.0,No da toda la confianza que se espera,3.0,5.0,7.0,10.0,7.0,10.0,6.0,8.0,11.0,9.0,3.0,2.0,7.0,4.0,4.0,9.0,8.0,2.0,1.0,1.0,2.0,3.0,0
20,2,1,1,6,0,0,0,0,0,1,0,5,52.0,5.0,1.0,,5.0,Yyyyh,5.0,5.0,7.0,8.0,8.0,7.0,10.0,4.0,5.0,4.0,2.0,2.0,2.0,5.0,4.0,5.0,6.0,3.0,1.0,2.0,2.0,3.0,2
20,2,2,12,3,0,1,0,0,0,0,0,5,11.0,1.0,1.0,,1.0,Simplemente no es de mi gusto,9.0,5.0,6.0,6.0,2.0,9.0,9.0,3.0,6.0,7.0,4.0,7.0,6.0,8.0,7.0,8.0,8.0,3.0,3.0,2.0,3.0,4.0,1
20,2,2,12,3,0,0,0,1,0,0,0,4,44.0,2.0,7.0,,9.0,sus tarjetas no presentan gastos de mantenimiento y al ser crédito revolving es mucho más sencillo,9.0,7.0,9.0,11.0,4.0,10.0,10.0,9.0,10.0,10.0,5.0,10.0,10.0,8.0,11.0,10.0,7.0,3.0,2.0,2.0,1.0,2.0,4
20,2,2,1,6,0,0,0,1,0,0,0,4,230.0,1.0,1.0,,10.0,Facilidad con el préstamo,10.0,6.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,7.0,8.0,10.0,9.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,2.0,5
20,2,1,12,3,0,1,0,0,0,0,0,5,85.0,2.0,1.0,,10.0,Los plazos de devolver dinero,10.0,7.0,10.0,12.0,11.0,11.0,9.0,11.0,11.0,11.0,9.0,11.0,10.0,11.0,11.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,4
20,2,1,10,4,0,1,0,0,0,0,0,5,171.0,3.0,4.0,,5.0,Se compra bien,8.0,4.0,7.0,9.0,6.0,3.0,7.0,7.0,8.0,7.0,8.0,8.0,9.0,7.0,8.0,8.0,8.0,3.0,2.0,2.0,2.0,2.0,2
20,2,1,10,4,0,1,0,0,0,0,0,5,171.0,3.0,3.0,,7.0,ninguno,7.0,5.0,7.0,5.0,6.0,6.0,6.0,9.0,8.0,8.0,8.0,7.0,10.0,8.0,9.0,6.0,7.0,2.0,3.0,4.0,2.0,3.0,2
20,2,1,9,5,0,0,0,1,0,0,0,5,337.0,4.0,2.0,,7.0,Fdjdhhyssjxhhshashshq,6.0,6.0,4.0,7.0,6.0,6.0,7.0,7.0,3.0,1.0,2.0,3.0,7.0,11.0,8.0,10.0,3.0,3.0,1.0,3.0,2.0,1.0,2
21,2,1,1,6,0,1,0,0,0,0,0,5,21.0,1.0,1.0,,10.0,Eficacia y eficiencia en todo momento antes de la adquisición del vehículo nuevo,10.0,7.0,10.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,1.0,1.0,1.0,1.0,1.0,5
21,2,2,5,7,0,1,0,1,0,0,0,5,76.0,1.0,7.0,,7.0,"Atención al cliente y resolución de incidencias: Hay quejas sobre tiempos de espera largos, especialmente cuando los clientes reclaman o quieren cancelar algo.  comisiones y costes para el cliente",6.0,5.0,7.0,12.0,6.0,12.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,6.0,2.0,3.0,2.0,2.0,2.0,2
21,2,1,12,3,1,0,0,0,0,0,0,5,378.0,3.0,3.0,,7.0,varios,8.0,6.0,7.0,12.0,12.0,12.0,12.0,8.0,7.0,9.0,9.0,3.0,6.0,7.0,7.0,6.0,7.0,2.0,2.0,2.0,2.0,2.0,1
21,2,2,9,5,0,1,0,1,0,0,0,5,76.0,1.0,3.0,,8.0,No lo se,7.0,6.0,7.0,6.0,7.0,9.0,7.0,6.0,8.0,8.0,4.0,6.0,7.0,8.0,7.0,8.0,7.0,3.0,3.0,3.0,2.0,3.0,2
21,2,2,12,3,0,1,0,0,0,0,0,4,13.0,3.0,4.0,,7.0,Calidad,7.0,6.0,8.0,5.0,6.0,3.0,4.0,10.0,10.0,10.0,8.0,5.0,6.0,10.0,2.0,9.0,7.0,1.0,1.0,1.0,1.0,1.0,4
21,2,2,12,3,1,0,0,1,0,0,0,5,52.0,1.0,1.0,,9.0,Gente muy amable,9.0,7.0,10.0,10.0,7.0,10.0,8.0,11.0,10.0,11.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,1.0,1.0,1.0,1.0,1.0,4
21,2,1,12,3,0,0,0,1,0,0,0,5,78.0,5.0,2.0,,10.0,Propósito: La encuesta busca identificar elementos positivos específicos de la experiencia del cliente.  Entidad: CaixaBank Payment & Consumer.  Instrucción: Se solicita al usuario que sea lo más específico posible en su respuesta.,10.0,5.0,8.0,5.0,6.0,4.0,6.0,9.0,11.0,10.0,5.0,9.0,8.0,10.0,10.0,9.0,9.0,1.0,2.0,1.0,2.0,1.0,4
21,2,1,1,6,1,0,0,0,0,0,0,4,135.0,2.0,3.0,,10.0,Buen atrncion al cleinte y respeto,10.0,7.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,9.0,11.0,11.0,11.0,11.0,11.0,10.0,1.0,1.0,1.0,1.0,1.0,5
